Temperature (K),Luminosity (L0),Radius (R0),Absolute Magnitude,Star Color,Spectral Class,Star Color Strings
9010.000364,18.61637845,1.400403551,2.04500769,6,A,Whitish
9813.094819,23.46395046,1.762642497,1.906951564,4,A,White
9939.976726,8.056682845,1.672016778,1.57452885,5,A,Blue White
7552.710674,13.11441587,1.605980722,1.313963584,6,A,Whitish
9086.68435,11.24951998,1.608827552,2.164937661,4,A,White
8927.486829,18.87797917,1.441167432,1.455364239,4,A,White
8579.308231,22.81375747,1.798752195,1.600496257,4,A,White
8261.892125,14.81341933,1.543587528,1.57428431,6,A,Whitish
8584.061792,21.11647019,1.65009704,1.93386995,4,A,White
9111.759449,11.52877819,1.557346608,1.926585584,5,A,Blue White
9891.042032,15.9975829,1.403064978,2.23514148,5,A,Blue White
7540.527517,12.7756867,1.618113974,2.337006944,5,A,Blue White
9453.904642,22.93658015,1.60364415,2.234425663,4,A,White
8895.094515,18.52240162,1.498711568,2.46178482,5,A,Blue White
9762.931236,21.56793897,1.41815811,1.475585137,5,A,Blue White
7573.049161,7.201776955,1.736691898,2.413248704,6,A,Whitish
8091.895536,10.58454669,1.419299967,1.306439845,4,A,White
7439.288155,20.35272331,1.526528199,1.550807357,5,A,Blue White
8661.146088,9.321131921,1.713367772,1.261068788,6,A,Whitish
9374.61453,5.681242563,1.788960024,2.089491918,5,A,Blue White
8064.060516,13.73103795,1.634585632,2.381016538,4,A,White
7908.472664,23.73727421,1.71121754,1.96552039,6,A,Whitish
8194.482035,10.24177926,1.691078977,1.444326613,4,A,White
8523.778649,16.39491,1.660394719,1.877959292,4,A,White
9290.938523,12.1910609,1.665846008,1.959666098,6,A,Whitish
8676.691268,5.536772579,1.77551192,1.48533972,5,A,Blue White
8332.788318,15.00838385,1.614032506,1.655245579,6,A,Whitish
9744.804685,21.54029815,1.559376047,2.145046679,5,A,Blue White
9906.195922,10.17964841,1.668183065,1.941160886,4,A,White
8996.321852,5.917700133,1.576213789,1.427852175,6,A,Whitish
7656.484159,9.929432082,1.453149578,1.725454449,6,A,Whitish
8969.414801,18.21464289,1.575681499,1.745711557,5,A,Blue White
8334.154281,11.58819382,1.619057097,1.97092712,6,A,Whitish
9976.223118,18.18992495,1.55805455,1.274251878,4,A,White
8074.433669,5.260082485,1.559308798,1.971975077,5,A,Blue White
9206.71686,19.36135713,1.70053946,2.415245116,6,A,Whitish
8745.055923,12.82237624,1.608940138,1.383590975,4,A,White
7821.669804,5.670105193,1.596173213,2.165187198,6,A,Whitish
9161.474772,13.12030805,1.435471574,2.463153484,4,A,White
7436.228509,19.32615274,1.500340653,2.011106923,4,A,White
7797.972112,23.4267283,1.579023609,2.149582015,4,A,White
7423.277473,24.68031487,1.655184358,1.628440407,5,A,Blue White
9689.612056,24.66841746,1.683778117,1.823777993,6,A,Whitish
9567.444842,22.92612186,1.797047924,1.310035766,6,A,Whitish
7619.019162,22.31406419,1.772877948,1.731690131,5,A,Blue White
8408.120105,21.01921944,1.436891799,1.702145475,6,A,Whitish
7624.617193,16.09957703,1.781415989,1.609480069,5,A,Blue White
8844.64981,13.37744295,1.465118264,2.27089092,6,A,Whitish
9863.353363,7.542450132,1.788182035,1.813160119,4,A,White
7992.239931,18.09241486,1.638802666,2.25829065,5,A,Blue White
9972.636675,22.27929824,1.496090848,2.237716169,4,A,White
8244.481711,10.4919687,1.428118065,1.603697341,4,A,White
7863.01041,21.80327875,1.520016486,1.335386548,6,A,Whitish
9097.733332,6.415104885,1.72541793,1.31866341,4,A,White
9928.030708,12.5758415,1.43068395,2.046903299,5,A,Blue White
8981.289518,10.36338868,1.541789238,1.780356977,4,A,White
7471.55231,8.058423576,1.45280435,2.381914185,5,A,Blue White
8308.47574,17.6199916,1.463271852,1.771651105,6,A,Whitish
7748.879146,11.32749632,1.424858821,1.442572909,4,A,White
7924.450811,24.18223705,1.680737392,1.92499908,6,A,Whitish
7440.96331,14.97347978,1.434592679,2.42136421,4,A,White
9734.742055,19.77217033,1.646714896,2.076193831,4,A,White
9441.88759,5.255113378,1.469508633,1.743321802,5,A,Blue White
8307.138677,17.10706377,1.660560426,1.573738178,4,A,White
9546.547705,16.52902643,1.599478562,2.3098902,4,A,White
9335.353303,21.14757642,1.513804275,2.431320094,5,A,Blue White
8979.030363,18.09936123,1.732223895,1.721249797,4,A,White
8364.051588,22.5645679,1.727343953,1.334100231,6,A,Whitish
8270.050496,23.04745851,1.775267762,1.476977211,5,A,Blue White
7539.901644,8.044657133,1.400130439,1.969684519,5,A,Blue White
8222.52791,8.851601736,1.65615569,1.482356289,6,A,Whitish
8781.410604,20.81951297,1.402942277,1.614310445,6,A,Whitish
8543.478145,6.214102084,1.442568443,1.827080134,5,A,Blue White
9042.721408,12.79654385,1.442717765,1.683721801,6,A,Whitish
8686.506271,10.99931709,1.546843618,1.647707146,5,A,Blue White
9498.951465,19.68359813,1.49584308,1.824893225,6,A,Whitish
7562.394656,7.084185075,1.538456081,1.54486865,5,A,Blue White
8552.026614,20.85150975,1.499847934,1.284690047,5,A,Blue White
8892.507222,20.65457886,1.554825726,2.07306682,6,A,Whitish
7805.36459,15.64795386,1.568415348,1.448504453,4,A,White
8950.591396,10.06704684,1.656030916,2.253328251,6,A,Whitish
7440.24335,6.4190917,1.715021189,1.760724715,6,A,Whitish
8854.462761,17.51606662,1.507997769,1.659239849,4,A,White
9574.330695,5.493629403,1.737592944,2.182518411,6,A,Whitish
8649.260129,6.24084985,1.696187352,2.1829399,5,A,Blue White
8485.367197,7.592239646,1.73044078,1.467443705,5,A,Blue White
7702.454125,14.01228145,1.472876899,1.396931002,5,A,Blue White
7376.354517,18.44671688,1.426174473,1.467546905,6,A,Whitish
9343.008428,22.12221667,1.644140105,2.034261455,6,A,Whitish
9449.486837,14.96890849,1.680621124,2.302362819,6,A,Whitish
8092.600105,5.975690081,1.444647085,1.887603569,5,A,Blue White
7611.058214,11.2766472,1.438329493,1.45720468,4,A,White
8312.747404,17.83262335,1.639133509,2.142881603,5,A,Blue White
9538.013112,20.72773287,1.724893044,2.38379662,5,A,Blue White
9572.796771,10.78300986,1.72583127,1.523172176,5,A,Blue White
9096.143819,14.95736021,1.435774786,2.33870181,6,A,Whitish
9892.377935,21.36869232,1.692511482,1.51479493,5,A,Blue White
9846.418309,16.90256585,1.76154263,2.295831175,5,A,Blue White
7604.288629,15.72849218,1.580892715,2.324127111,4,A,White
9050.376113,11.61746281,1.428275071,1.904221841,4,A,White
8598.17094,13.23380453,1.496511262,1.846703493,4,A,White
7479.605868,20.88012481,1.692746024,2.362353916,4,A,White
9723.982309,11.86416441,1.416196646,1.331345251,5,A,Blue White
8642.521348,14.25213472,1.569809105,1.886820156,6,A,Whitish
9382.519258,12.35647336,1.616086035,2.025997434,4,A,White
7462.978019,18.59141239,1.781531135,2.1669593,4,A,White
8008.635155,16.35558064,1.483562297,1.537495289,5,A,Blue White
9057.887295,18.03553692,1.446532838,1.277339845,5,A,Blue White
7660.730558,14.82227497,1.658488027,1.423736112,4,A,White
9024.073489,12.9691647,1.443364436,2.211884309,5,A,Blue White
8339.346356,14.54968418,1.79339877,2.462206476,6,A,Whitish
9367.384939,6.331752459,1.499337615,1.73349302,6,A,Whitish
9062.872342,13.22056974,1.642542288,2.491784737,4,A,White
8330.020476,24.38183917,1.726678109,1.657991835,4,A,White
8110.050173,20.61442062,1.732021685,1.421451295,4,A,White
8218.3768,19.58035777,1.595615733,1.730942038,5,A,Blue White
9781.101649,20.31301232,1.704291302,1.953294791,4,A,White
8531.920396,20.13161608,1.766043174,2.042294283,4,A,White
8494.741772,21.86540634,1.760389983,1.927007981,6,A,Whitish
8526.301713,20.403137,1.485695004,1.643741781,5,A,Blue White
9852.261425,24.57321857,1.618824442,1.449158404,5,A,Blue White
7891.621172,7.227188851,1.713883792,1.440770292,5,A,Blue White
9682.487549,12.92153882,1.477776438,1.421188467,4,A,White
7353.663642,14.84121302,1.698755661,2.137253895,4,A,White
8222.765185,10.16189237,1.59022329,1.831080583,6,A,Whitish
9368.274103,5.739324426,1.633303432,1.391588979,5,A,Blue White
8225.569994,24.48762646,1.504219233,2.126098565,4,A,White
8970.777291,19.52851958,1.433928984,1.474982672,6,A,Whitish
8523.157138,7.959296608,1.51925314,2.254585101,5,A,Blue White
7327.439027,7.957891147,1.766851744,1.892445131,5,A,Blue White
8917.519152,19.09648198,1.588207277,1.935547952,5,A,Blue White
8924.234541,12.61987045,1.507787021,1.509805949,4,A,White
9053.427118,6.528228883,1.705188191,2.230736093,4,A,White
8225.345708,13.21680686,1.708868842,1.908112041,5,A,Blue White
8631.90799,7.859811082,1.40851985,1.963779204,4,A,White
9194.789652,20.97840241,1.751994477,1.777550948,5,A,Blue White
9697.067024,23.60496326,1.719268074,2.151445387,5,A,Blue White
7448.656185,5.094389558,1.529666095,1.341422889,5,A,Blue White
7565.577266,18.00081163,1.667617767,1.993577398,4,A,White
9054.413521,18.57064922,1.518517545,2.327471706,6,A,Whitish
9362.991406,10.07245684,1.771980817,1.811001326,4,A,White
9967.489142,21.86361826,1.512784174,2.065721738,5,A,Blue White
7638.376937,10.87917548,1.467551989,1.629341398,5,A,Blue White
8284.088373,5.537207683,1.698066642,2.009299939,6,A,Whitish
9125.821244,6.866143258,1.590853741,1.598627887,4,A,White
8314.547062,20.95769945,1.661377816,2.249452925,6,A,Whitish
9631.337927,19.22805252,1.786630373,2.245211397,5,A,Blue White
8088.337228,20.66813568,1.525210995,2.442608629,5,A,Blue White
7660.382475,17.47845288,1.430575783,1.805422707,4,A,White
9116.156389,21.5083092,1.716566059,1.821103516,5,A,Blue White
7846.979448,5.700451702,1.546153592,1.999771423,4,A,White
9644.991035,13.10949945,1.634039756,2.303277289,5,A,Blue White
9328.124769,9.993375106,1.473334682,1.289000566,5,A,Blue White
8432.325055,14.61793683,1.430767577,1.484087677,5,A,Blue White
7300.623876,22.61678255,1.461465107,2.429492999,5,A,Blue White
7703.552077,10.61369635,1.730750396,2.434902673,6,A,Whitish
8039.352614,16.98285019,1.520382697,1.816230489,6,A,Whitish
9655.547551,5.524522773,1.553553796,2.263540689,5,A,Blue White
8923.378089,8.103973325,1.660299579,2.411099001,4,A,White
8167.208823,21.67821741,1.72694821,2.090896601,6,A,Whitish
8067.591301,8.897867345,1.706506488,1.71541535,4,A,White
8475.352676,21.5957607,1.549670223,1.757119614,5,A,Blue White
9740.149438,11.76149718,1.475944991,1.798529902,6,A,Whitish
9797.785241,18.42233099,1.658600702,2.098311501,4,A,White
8664.289621,6.047326381,1.401442122,1.831337911,4,A,White
8994.470885,19.68618133,1.513155162,2.44158021,5,A,Blue White
9242.012602,14.98963556,1.655440238,1.693372478,5,A,Blue White
7364.56478,23.86599875,1.636829832,1.673776077,6,A,Whitish
8852.317755,10.79544833,1.530115682,2.369825058,4,A,White
7425.643053,12.53120854,1.7955805,1.931792823,6,A,Whitish
8440.834748,7.275107233,1.449294339,2.186604647,5,A,Blue White
8562.882505,24.29701415,1.694350795,1.406096499,6,A,Whitish
7361.095564,13.65023134,1.462646808,1.816543523,5,A,Blue White
7475.699915,6.69126402,1.573858965,1.343436798,4,A,White
9794.682106,19.33352825,1.732897287,2.079175767,5,A,Blue White
8742.185733,15.13574759,1.543963825,2.129564552,6,A,Whitish
8290.350466,11.56175482,1.430495219,2.39868821,6,A,Whitish
8282.654685,20.07048282,1.622770218,2.075089886,6,A,Whitish
7708.708898,21.72011649,1.50957209,2.112631149,4,A,White
7703.943216,10.07432705,1.452821872,2.317154512,4,A,White
8247.165647,15.68850034,1.67986194,1.834877153,6,A,Whitish
8207.108458,13.70330466,1.594361963,1.823098352,5,A,Blue White
9416.875185,8.154082914,1.4730865,2.257630234,4,A,White
8614.195871,17.00962407,1.440485815,2.280959045,5,A,Blue White
8554.954635,23.7490152,1.480633731,1.488045129,6,A,Whitish
7654.381889,7.155171576,1.453898404,1.28209151,5,A,Blue White
9693.256971,22.99962869,1.529515662,1.321018701,4,A,White
9121.305049,16.00929982,1.780218019,1.428669475,4,A,White
9554.931023,13.54713374,1.612852224,1.464273422,4,A,White
9072.517424,8.047616607,1.499074284,2.032305977,5,A,Blue White
9956.575837,9.95092005,1.574910501,1.28689401,5,A,Blue White
9945.432654,13.94737587,1.667635113,1.840415332,4,A,White
7975.413137,15.65566875,1.619078284,2.098053463,5,A,Blue White
8986.3409,12.09302269,1.643621798,1.393486211,6,A,Whitish
9266.254543,20.46229625,1.745253904,1.545079905,4,A,White
8645.059851,22.63362285,1.55227838,1.611350753,6,A,Whitish
9594.536396,19.68184187,1.699582246,1.465945368,5,A,Blue White
7815.47915,13.12864413,1.462678719,1.654632653,5,A,Blue White
7635.188225,17.08357491,1.423249527,2.251387624,6,A,Whitish
7307.534138,17.82210103,1.535882785,1.624542124,4,A,White
7712.972533,7.54933672,1.726870566,2.219532154,5,A,Blue White
8742.234227,14.92383994,1.551019068,1.940963538,4,A,White
8678.710734,11.20938711,1.789041973,1.943364652,4,A,White
8340.082876,16.57148928,1.642127436,2.163309108,5,A,Blue White
8138.610425,23.87217874,1.535294466,2.217031028,6,A,Whitish
7309.599708,13.53879219,1.771193489,2.376058881,5,A,Blue White
9501.154602,5.662568823,1.759369878,1.422708945,6,A,Whitish
9023.729837,23.58867758,1.740282584,2.24259602,4,A,White
8510.516328,23.49964503,1.502716767,1.486766718,5,A,Blue White
7959.03158,12.16613839,1.5141982,1.286217978,4,A,White
9469.139732,10.19978233,1.711978764,1.409233991,4,A,White
9524.721396,20.73719291,1.680558091,1.417169608,4,A,White
9600.914753,15.23164487,1.597004711,1.4103887,6,A,Whitish
8561.57974,16.25054307,1.787067099,2.419074741,6,A,Whitish
9920.887228,18.69587528,1.590464598,1.591537569,6,A,Whitish
9571.358841,6.847931907,1.797962207,2.42834907,6,A,Whitish
7512.080157,22.45157934,1.596231449,2.047688127,5,A,Blue White
7941.516997,23.8587576,1.601381359,2.340663526,4,A,White
9507.441379,6.931884732,1.70750915,1.708841548,4,A,White
8395.73753,21.9176501,1.555233793,1.545252381,4,A,White
8559.042996,23.1879123,1.581303704,1.484147798,6,A,Whitish
9869.147789,5.226822811,1.453141587,1.932061581,4,A,White
9905.514326,15.47365407,1.703402531,1.568895569,5,A,Blue White
9366.26914,18.00690547,1.626094774,1.63227951,4,A,White
8851.240693,12.70290701,1.65945464,1.269435773,5,A,Blue White
9772.997569,17.98604099,1.719223225,1.984360117,4,A,White
8637.667504,20.2570696,1.488179297,2.453197889,5,A,Blue White
7748.233418,16.51371963,1.743156308,2.312309593,6,A,Whitish
8180.193709,17.63838297,1.761891568,1.259925371,6,A,Whitish
8100.377486,10.56408008,1.516807954,2.042531924,6,A,Whitish
8807.405927,21.79672846,1.690347903,1.699113919,5,A,Blue White
7482.187368,13.53669912,1.535778322,1.392574519,6,A,Whitish
7486.240185,17.63244757,1.509072491,1.926022408,6,A,Whitish
7750.318372,21.66933963,1.468109836,1.770526729,4,A,White
9858.083309,10.40370927,1.66560729,1.896373122,4,A,White
9489.938728,13.01601472,1.614340663,2.357653595,4,A,White
9218.230371,16.08509185,1.731643767,1.436744885,4,A,White
9919.663017,13.87730714,1.506944832,1.793345653,4,A,White
9995.752331,6.807682441,1.470462312,1.32379851,4,A,White
9966.127978,19.8876262,1.572474547,1.726287571,4,A,White
7705.233761,5.652308986,1.590262015,2.152961835,6,A,Whitish
9887.892772,13.59485087,1.714088363,1.368899036,5,A,Blue White
8732.239433,5.745245589,1.452260639,2.083987997,4,A,White
7500.033597,24.51595506,1.420542293,1.620500693,5,A,Blue White
8141.916441,15.44679816,1.651002591,1.998203455,4,A,White
9716.961106,23.19259957,1.411635021,1.439814987,6,A,Whitish
9553.874441,12.66495843,1.454477844,1.795471383,5,A,Blue White
7306.34164,22.68904474,1.677822239,1.265852876,4,A,White
9028.566585,10.10035219,1.606271583,1.536278683,5,A,Blue White
9468.592953,23.18099684,1.617032968,1.579599567,5,A,Blue White
7961.853039,22.8912089,1.723393404,1.88923154,5,A,Blue White
7473.130026,12.97034322,1.717474412,1.51885611,4,A,White
8010.500462,17.50040004,1.600746835,1.682637239,6,A,Whitish
7577.344975,16.35194572,1.510652823,2.184771364,5,A,Blue White
8606.041367,22.89023771,1.447865976,1.767024316,4,A,White
8430.988049,9.283316077,1.754639104,1.319690702,6,A,Whitish
8329.480322,5.077183177,1.788115596,1.737535177,4,A,White
9694.265811,22.61162922,1.777010525,1.843104926,5,A,Blue White
8435.50529,9.702432701,1.655251253,2.281650896,5,A,Blue White
8066.389246,9.897292447,1.436236061,1.629554464,4,A,White
7430.089089,17.8183407,1.429883246,2.277237674,6,A,Whitish
7891.748153,11.09048962,1.472980374,1.957099704,5,A,Blue White
7945.775238,21.51241624,1.412675065,1.317977021,5,A,Blue White
7378.997915,22.67377422,1.689974523,1.575017726,6,A,Whitish
9196.23948,23.90745916,1.457663524,1.986379439,5,A,Blue White
7320.615998,12.81590677,1.654370727,1.849667019,4,A,White
8949.485837,21.02640129,1.715939023,1.498313271,5,A,Blue White
8401.841751,8.14226576,1.626501251,1.548765828,6,A,Whitish
7972.156022,17.50330794,1.55096557,2.225241849,6,A,Whitish
9061.641255,18.97970706,1.728634446,2.021637399,5,A,Blue White
8164.748139,6.717378662,1.521952332,1.430161,4,A,White
7579.914736,15.62359146,1.527749239,2.145165025,6,A,Whitish
8746.025215,22.77133044,1.713991957,1.751883036,5,A,Blue White
7745.149655,10.27332016,1.601494575,1.827981709,5,A,Blue White
9685.284496,9.695710506,1.504398693,2.134102508,6,A,Whitish
9099.433933,21.79314455,1.69299021,1.751513183,6,A,Whitish
9588.904728,14.91080059,1.465179986,1.267981751,4,A,White
9359.184872,8.047327328,1.768430089,1.343300552,6,A,Whitish
9478.937191,9.615363116,1.488889385,1.988835219,5,A,Blue White
9008.971598,18.15907914,1.433443487,1.8075019,4,A,White
9218.153731,16.25896762,1.429480621,2.408275753,4,A,White
9159.391556,10.83657475,1.707820663,1.368616695,4,A,White
8166.559225,17.44609969,1.727070811,1.71927348,5,A,Blue White
8735.450935,19.31810817,1.696170214,1.93249858,5,A,Blue White
9657.623686,10.61462068,1.703299515,1.389597968,4,A,White
7447.25712,13.24546317,1.784477992,2.380579043,6,A,Whitish
8651.082094,12.24411427,1.586569985,2.041596248,4,A,White
8468.460679,20.62784044,1.714798595,2.381764554,4,A,White
9741.562727,7.709743026,1.569027233,2.038191174,4,A,White
9001.495049,23.04139029,1.777491983,1.267785346,4,A,White
9954.1978,10.79272172,1.400525759,1.645597233,5,A,Blue White
8880.040917,14.99115852,1.792507163,1.389838423,4,A,White
9569.718598,20.67180776,1.628077673,2.036828914,5,A,Blue White
8565.797208,18.54124125,1.538588222,1.32588681,6,A,Whitish
8772.10029,7.9962346,1.623001221,2.092493653,6,A,Whitish
7783.581127,18.93238959,1.519913881,1.846798858,4,A,White
9013.046581,7.580260862,1.463629129,1.631932253,5,A,Blue White
9899.988693,23.91892575,1.666102514,1.895416228,5,A,Blue White
8741.837129,22.72823698,1.673681113,2.133785312,6,A,Whitish
8594.958481,15.30009226,1.716963745,2.267013729,5,A,Blue White
9442.898424,18.58817492,1.539449775,1.644760425,4,A,White
7550.327041,24.53586716,1.500029893,1.639127727,5,A,Blue White
9678.158766,7.509207133,1.538001354,1.681221089,6,A,Whitish
7310.458546,20.04486102,1.531453037,2.082881116,6,A,Whitish
8681.128549,21.54103819,1.770994213,2.326339537,4,A,White
9131.851813,20.62860654,1.702428973,2.202224068,4,A,White
8827.518646,8.817653335,1.515295453,2.344796971,5,A,Blue White
8591.838346,13.57282681,1.64247195,2.339044372,6,A,Whitish
8165.384679,5.289134942,1.706411746,1.465988004,6,A,Whitish
8924.265456,11.50570977,1.738460938,2.312779978,5,A,Blue White
9765.512404,7.694040573,1.760792477,2.44948547,4,A,White
9142.798105,14.01034924,1.638282859,2.212758736,4,A,White
9856.180372,16.4454986,1.427414458,2.343769188,6,A,Whitish
7567.540323,20.84046564,1.48721735,1.334266845,5,A,Blue White
8679.778095,13.3947322,1.747763397,2.05849027,5,A,Blue White
7597.346518,15.65073089,1.565687142,1.655120738,5,A,Blue White
8772.207069,23.51408784,1.664483661,2.050433641,5,A,Blue White
9159.721927,22.98163675,1.713393936,2.349688789,4,A,White
7698.025869,15.89666797,1.499154403,1.717047094,4,A,White
9399.414802,23.022479,1.621770116,2.208421947,6,A,Whitish
8377.438329,6.036534178,1.491834158,1.460108323,6,A,Whitish
9725.40986,21.17205037,1.402765106,1.899655854,5,A,Blue White
8129.01846,11.69809159,1.706655759,2.034319512,5,A,Blue White
7464.838095,9.573662345,1.4087333,2.142392107,5,A,Blue White
7892.57209,21.44803615,1.557241374,1.632995132,6,A,Whitish
7523.64893,11.96469158,1.501016062,1.579608887,6,A,Whitish
9866.067405,8.309411907,1.481686769,2.395004384,4,A,White
7344.200784,5.56267136,1.664911787,2.01879283,5,A,Blue White
7609.60477,24.10739531,1.765896832,1.366468825,5,A,Blue White
7333.506854,18.60581423,1.402761019,2.034621503,5,A,Blue White
7883.813789,22.21124229,1.69856928,1.490035029,5,A,Blue White
7330.854328,23.78187031,1.719868318,2.221205863,4,A,White
9034.613017,18.60387929,1.763119576,2.330625632,4,A,White
8695.875537,23.34847497,1.789829574,1.666977015,4,A,White
7962.96379,10.13383342,1.447945396,1.419267499,4,A,White
7823.117818,22.71236269,1.607587905,2.206833948,4,A,White
7545.350561,23.4008558,1.728789925,1.648267167,6,A,Whitish
8294.792497,11.0012688,1.654809119,1.565474389,5,A,Blue White
7321.040859,6.467818934,1.781564151,1.500093264,5,A,Blue White
8927.293562,20.3479747,1.778770549,1.336262315,6,A,Whitish
8592.907809,6.699044317,1.786642098,1.939888419,5,A,Blue White
8131.91776,19.57528159,1.426937675,1.754764529,5,A,Blue White
27131.96069,24511.91259,4.142396921,-4.285221706,7,B,Blue
30522.14533,5704.407664,4.189623883,-3.27206396,6,B,Whitish
15579.87788,3732.71137,6.292682656,-2.940336016,6,B,Whitish
12980.73044,24634.36946,3.668552077,0.0036333926,6,B,Whitish
15176.56129,19145.98116,2.362296795,-0.04235293931,5,B,Blue White
18050.32014,508.1910614,2.954033059,-2.781400227,5,B,Blue White
16602.9461,26881.23996,5.087560774,-3.315271547,4,B,White
31332.22417,15473.36734,5.828417352,0.7036511607,5,B,Blue White
11180.21641,16347.0451,6.456694238,-0.6599824657,6,B,Whitish
23631.33537,18203.10519,2.832814141,-0.6836442489,5,B,Blue White
13746.67471,22819.07563,5.449648063,0.8587709127,6,B,Whitish
29283.3327,25664.02248,4.603693679,-2.360565171,4,B,White
13853.90139,11501.48174,3.734167572,-0.2838504073,5,B,Blue White
21550.61415,2562.359429,4.248193621,-2.787481288,6,B,Whitish
32984.57802,22022.85213,4.179092252,0.1385944746,7,B,Blue
18174.36448,9976.380245,4.926568044,-3.242524787,7,B,Blue
11082.78732,25196.49231,5.369789494,-0.6781651102,4,B,White
14914.19346,11167.40616,3.249376652,1.076352168,5,B,Blue White
19150.29985,24850.75272,2.230137289,-2.263285941,7,B,Blue
17674.36815,5316.145903,5.764634316,-2.951524226,5,B,Blue White
15280.85824,3907.357835,3.670017643,-4.593244931,7,B,Blue
31530.76408,26399.51038,5.521463296,-3.736531833,6,B,Whitish
25713.34205,1346.271876,2.660971657,-5.302886491,4,B,White
32128.6173,20609.43255,2.324933807,-3.3547019,7,B,Blue
20073.38309,22019.84283,6.144760023,-3.688607674,6,B,Whitish
31627.74305,13129.24381,6.006484819,-3.598684881,6,B,Whitish
10134.18947,11410.67153,6.599004309,-0.09783406587,5,B,Blue White
24037.06169,29390.23176,5.948422493,-2.201479234,4,B,White
28424.74241,11984.82784,1.977012107,-2.279330502,4,B,White
15358.57527,13219.60276,4.414475722,-0.4133374448,5,B,Blue White
31446.77955,4725.316429,6.588557674,-5.233663379,6,B,Whitish
27555.04383,9797.877665,4.25283914,-1.51043238,7,B,Blue
29008.33941,9439.006312,5.992858444,-3.565199187,4,B,White
